
;========================================
ArQuestFloorType  ;(ADDR=0011F368)
  0 - SHORT
  1 - MIDDLE
  2 - LONG


;========================================
UsedMenuKind  ;(ADDR=0011F7E8)
  0 - USED_MENU_KIND_TOP_START
  1 - USED_MENU_KIND_TOP_AR
  2 - USED_MENU_KIND_TOP_PASSWORD
  3 - USED_MENU_KIND_TOP_RESERVE_0
  4 - USED_MENU_KIND_TOP_RESERVE_1
  5 - USED_MENU_KIND_TOP_RESERVE_2
  6 - USED_MENU_KIND_TOP_RESERVE_3
  7 - USED_MENU_KIND_TOP_RESERVE_4
  8 - USED_MENU_KIND_COMMON_QUEST
  9 - USED_MENU_KIND_GROUND_MATERIAL
  10 - USED_MENU_KIND_GROUND_LOCAL
  11 - USED_MENU_KIND_GROUND_3
  12 - USED_MENU_KIND_GROUND_4
  13 - USED_MENU_KIND_GROUND_5
  14 - USED_MENU_KIND_GROUND_6
  15 - USED_MENU_KIND_GROUND_7
  16 - USED_MENU_KIND_GROUND_8
  17 - USED_MENU_KIND_GROUND_9
  18 - USED_MENU_KIND_QUEST_MEMO
  19 - USED_MENU_KIND_DUNGEON_1
  20 - USED_MENU_KIND_DUNGEON_2
  21 - USED_MENU_KIND_DUNGEON_3
  22 - USED_MENU_KIND_DUNGEON_4
  23 - USED_MENU_KIND_DUNGEON_5
  24 - USED_MENU_KIND_DUNGEON_6
  25 - USED_MENU_KIND_DUNGEON_7
  26 - USED_MENU_KIND_DUNGEON_8


;========================================
PokemonType  ;(ADDR=0011FDBC)
  0 - None
  1 - Normal
  2 - Grass
  3 - Fire
  4 - Water
  5 - Electric
  6 - Ice
  7 - Fighting
  8 - Poison
  9 - Ground
  10 - Flying
  11 - Psychic
  12 - Bug
  13 - Rock
  14 - Ghost
  15 - Dragon
  16 - Dark
  17 - Steel
  19 - Nashi


;========================================
DungeonMenuSelectItems  ;(ADDR=00120C70)
  -1 - SELECT_MENU_NON
  0 - SELECT_MENU_WAZA_USE
  1 - SELECT_MENU_ITEM_EQUIP
  2 - SELECT_MENU_ITEM_PUT
  3 - SELECT_MENU_ITEM_SET
  4 - SELECT_MENU_ITEM_UNSET
  5 - SELECT_MENU_ITEM_RETURN
  6 - SELECT_MENU_ITEM_EQUIP_EXCHANGE
  7 - SELECT_MENU_ITEM_THROW
  8 - SELECT_MENU_ITEM_SHOT
  9 - SELECT_MENU_ITEM_STONE_THROW
  10 - SELECT_MENU_ITEM_GIFT
  11 - SELECT_MENU_ITEM_EAT
